,City,ID,State,height,weight
323,Miami,647, FL,6.03,248.0
324,Manchester,649, JM,5.09,178.0
328,Cleveland,657, OH,5.09,185.0
329,Milwaukee,659, WI,6.01,190.0
330,St. Louis,661, MO,6.03,195.0
332,Oakland,665, CA,6.03,280.0
333,Boynton Beach,667, FL,5.11,199.0
334,Jackson,669, MS,6.01,210.0
335,Akron,671, OH,6.03,285.0
339,Tyler,679, TX,5.1,221.0
340,Dallas,681, TX,6.04,260.0
341,Evansville,683, IN,6.02,225.0
343,Iowa City,687, IA,6.02,259.0
344,Selma,689, AL,6.01,210.0
345,Eunice,691, LA,6.03,222.0
347,Oakland,695, CA,5.1,190.0
348,Rialto,697, CA,6.01,196.0
349,Hampton,699, VA,5.08,177.0
351,Gulfport,703, MS,6.05,275.0
352,Montreal,705, QC,5.09,185.0
353,Quebec City,707, QC,6.03,300.0
355,Tacoma,711, WA,6.02,210.0
356,Los Angeles,713, CA,5.09,190.0
358,Stockton,717, CA,6.04,310.0
359,Sherwood Park,719, AB,6.02,260.0
360,Camden,721, NJ,5.08,205.0
361,Ottawa,723, ON,6.03,300.0
362,Welland,725, ON,6.04,290.0
364,Calgary,729, AB,6.06,295.0
365,Québec,731, QC,6.03,275.0
366,Hampton,733, VA,6.02,235.0
367,Beirut,735, LB,6.02,291.0
368,Repentigy,737, QC,5.11,185.0
369,Liberty,739, SK,6.04,295.0
370,Detroit,741, MI,5.1,217.0
371,Regina,743, SK,6.0,192.0
372,Scarborough,745, ON,6.02,189.0
373,Stony Creek,747, ON,6.0,197.0
375,New Smyrna Beach,751, FL,6.03,210.0
377,Sherwood Park,755, AB,6.03,225.0
379,Kingston,759, ON,6.04,265.0
380,Mallorytown,761, ON,6.03,260.0
381,Toronto,763, ON,6.03,224.0
382,Medicene Hat,765, AB,5.1,210.0
383,Regina,767, SK,5.1,208.0
384,Wingate,769, NC,6.01,195.0
385,Franklin,771, IN,6.03,209.0
386,Jacksboro,773, TX,5.1,240.0
387,New Orleans,775, LA,5.04,160.0
388,New Orleans,777, LA,6.02,225.0
391,Inglewood,783, CA,5.1,205.0
393,Mississauga,787, ON,6.02,209.0
394,Lucedale,789, MS,6.02,262.0
395,Costa Mesa,791, CA,6.04,241.0
396,Brooklyn,793, NY,5.11,190.0
397,Inglewood,795, CA,5.11,185.0
398,Tampa Bay,797, FL,5.08,177.0
399,Manchester,799, MD,5.09,190.0
401,Ponchatoula,803, LA,5.08,198.0
402,Burlington,805, ON,6.04,305.0
403,Washington,807, DC,6.06,276.0
406,Port Arthur,813, TX,5.09,170.0
409,Oakland,819, CA,6.03,270.0
410,Kamloops,821, BC,6.0,220.0
411,Channelview,823, TX,6.03,308.0
412,Chicago,825, IL,5.11,205.0
417,Miami,835, FL,5.07,175.0
418,Rockford,837, IL,5.11,203.0
419,Miami,839, FL,6.05,300.0
420,Baton Rouge,841, LA,6.06,335.0
421,Clanton,843, AL,6.05,322.0
422,South Jordan,845, UT,6.02,194.0
424,Surrey,849, BC,6.01,227.0
425,Meridian,851, MS,6.02,255.0
426,Plaster Rock,853, NB,6.01,205.0
427,Regina,855, SK,6.03,210.0
428,Saltspring,857, BC,6.04,300.0
429,Nassau,859, BS,6.02,300.0
430,Lethbridge,861, AB,6.03,235.0
431,Saskatoon,863, SK,6.01,229.0
432,Victoria,865, BC,6.01,228.0
433,Sainte-Justine,867, QC,6.02,220.0
434,Hamilton,869, ON,6.02,297.0
435,Gatineau,871, QC,6.0,214.0
436,Thorsby,873, AB,6.0,220.0
437,Victoria,875, BC,6.08,312.0
439,Toronto,879, ON,6.03,261.0
440,Victoria,881, BC,6.03,305.0
442,Lethbridge,885, AB,6.03,235.0
443,Montreal,887, QC,6.02,280.0
445,Scarborough,891, ON,6.05,245.0
446,Edmonton,893, AB,6.0,210.0
447,Saskatoon,895, SK,6.03,285.0
448,Vancouver,897, BC,6.01,195.0
449,Toronto,899, ON,6.03,203.0
450,Elk Grove Village,901, IL,6.01,225.0
451,Hamilton,903, ON,5.1,208.0
452,Raymond,905, AB,5.1,175.0
453,Regina,907, SK,6.02,270.0
454,Winnipeg,909, MB,5.11,170.0
455,Cambridge,911, ON,5.09,199.0
457,Alexandria,915, ON,5.11,180.0
459,Edmonton,919, AB,6.03,252.0
461,Flint,923, MI,6.04,240.0
463,Miami,927, FL,6.02,223.0
464,Boise,929, ID,5.11,174.0
